Model,Dataset,PCA,Scaling,MSE,MAE,R2
Support Vector Machine,Best Features RF,False,Power Transform Standardized,0.02868266235819607,0.12872479546135826,0.6251837180939519
Support Vector Machine,Best Features RF,9,Power Transform Standardized,0.04852227465494276,0.1706051518650092,0.366418157758902
Support Vector Machine,Best Features RF,11,Power Transform Standardized,0.044207577932410064,0.1618355155765751,0.42266228488565794
Support Vector Machine,Best Features RF,98,Power Transform Standardized,0.028750998843010724,0.1287061894647488,0.6242468932179
AdaBoost,Best Features RF,False,Standard Scaler,0.06148512098422139,0.20432838544546925,0.19750439819910973
AdaBoost,Best Features RF,9,Standard Scaler,0.06834217248925076,0.2150465171864886,0.1081290059028506
AdaBoost,Best Features RF,11,Standard Scaler,0.06580743623070087,0.21045356240959343,0.14125306788562614
AdaBoost,Best Features RF,98,Standard Scaler,0.05887730918250235,0.19929512971051794,0.23147854760512193
AdaBoost,Best Features RF,False,Power Transform,0.0608766143101497,0.20346357577533322,0.20566304072725874
AdaBoost,Best Features RF,9,Power Transform,0.0682270987232879,0.21525352059303654,0.10970965924765272
AdaBoost,Best Features RF,11,Power Transform,0.06537168351283057,0.21066696540383165,0.14698152031427747
AdaBoost,Best Features RF,98,Power Transform,0.05895328270781255,0.19962295836569643,0.23032805885704616
AdaBoost,Best Features RF,False,Power Transform Standardized,0.061650834273995314,0.2036258007480276,0.1954253821505109
AdaBoost,Best Features RF,9,Power Transform Standardized,0.06670090678103927,0.21202815685079507,0.12982640402268525
AdaBoost,Best Features RF,11,Power Transform Standardized,0.06582571078112658,0.21071899646278558,0.14141433677387943
AdaBoost,Best Features RF,98,Power Transform Standardized,0.05874278860612081,0.19905296037796374,0.23330380600824388
Bagging,Best Features RF,False,Standard Scaler,0.03392492619498298,0.1383336567413561,0.5567163783626692
Bagging,Best Features RF,9,Standard Scaler,0.046827033211424396,0.16662005072425962,0.3882913664632853
Bagging,Best Features RF,11,Standard Scaler,0.04569439555184357,0.1644951122563115,0.4031320323937971
Bagging,Best Features RF,98,Standard Scaler,0.042670717376911936,0.16018380613099123,0.44269490060571137
Bagging,Best Features RF,False,Power Transform,0.03359481863583518,0.13804734757824866,0.5611480543440119
Bagging,Best Features RF,9,Power Transform,0.048849800791435825,0.16989107567338502,0.36150661096737285
Bagging,Best Features RF,11,Power Transform,0.04738379366994066,0.16721238372115171,0.3811663320831567
Bagging,Best Features RF,98,Power Transform,0.04240913055084783,0.1598610753964142,0.4467650214188069
Bagging,Best Features RF,False,Power Transform Standardized,0.03368436485928763,0.1379995038277661,0.5601580594600943
Bagging,Best Features RF,9,Power Transform Standardized,0.047059561687145646,0.16841007940607444,0.38628300037255403
Bagging,Best Features RF,11,Power Transform Standardized,0.04616820967090355,0.16540875861687496,0.3975972187062059
Bagging,Best Features RF,98,Power Transform Standardized,0.042437131393550175,0.1596760963086215,0.44604156205377193
KNeighborsRegressor,Best Features RF,False,Standard Scaler,0.031749005720934906,0.13045010730750659,0.5855709471926289
KNeighborsRegressor,Best Features RF,9,Standard Scaler,0.04536482551385342,0.15984931872567026,0.4078784181767265
KNeighborsRegressor,Best Features RF,11,Standard Scaler,0.042141229337508225,0.15306611374172296,0.44975735269153827
KNeighborsRegressor,Best Features RF,98,Standard Scaler,0.031791324929216914,0.13061455218136758,0.5849966207908167
KNeighborsRegressor,Best Features RF,False,Power Transform,0.0335419558259278,0.1352491947394892,0.5624534697209884
KNeighborsRegressor,Best Features RF,9,Power Transform,0.045983395405718434,0.16117495844020863,0.4002913185842896
KNeighborsRegressor,Best Features RF,11,Power Transform,0.04392233282834011,0.15760313594839304,0.4271752517294799
KNeighborsRegressor,Best Features RF,98,Power Transform,0.03364994187488206,0.1357794968190209,0.5609356143998816
KNeighborsRegressor,Best Features RF,False,Power Transform Standardized,0.03194782841084097,0.13115519890653232,0.5829684037065761
KNeighborsRegressor,Best Features RF,9,Power Transform Standardized,0.043758060274735354,0.15670569110841087,0.4293769356259647
KNeighborsRegressor,Best Features RF,11,Power Transform Standardized,0.04135336301277951,0.1513823402889257,0.4604119712181444
KNeighborsRegressor,Best Features RF,98,Power Transform Standardized,0.03173311923582456,0.13081529481690304,0.5858591375327611
Elastic Net,Best Features RF,False,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Best Features RF,9,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Best Features RF,11,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Best Features RF,98,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Best Features RF,False,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Best Features RF,9,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Best Features RF,11,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Best Features RF,98,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Best Features RF,False,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Best Features RF,9,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Best Features RF,11,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Best Features RF,98,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Best Features RF,False,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Best Features RF,9,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Best Features RF,11,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Best Features RF,98,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Best Features RF,False,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Best Features RF,9,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Best Features RF,11,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Best Features RF,98,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Best Features RF,False,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Best Features RF,9,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Best Features RF,11,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Best Features RF,98,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Ridge,Best Features RF,False,Standard Scaler,0.04372588111937238,0.1653744185504404,0.42899972515653245
